"timestamp","pair","EUR/USD"
2026-02-24 09:36:46,EUR/USD,$1.177560
2026-02-24 09:20:46,EUR/USD,$1.176350
2026-02-24 07:00:46,EUR/USD,$1.177556
2026-02-24 06:58:46,EUR/USD,$1.178905
2026-02-24 05:58:46,EUR/USD,$1.177659
2026-02-24 05:28:46,EUR/USD,$1.177395
2026-02-24 03:42:46,EUR/USD,$1.178621
2026-02-24 03:32:46,EUR/USD,$1.179933
2026-02-24 03:02:46,EUR/USD,$1.178288
2026-02-24 02:56:46,EUR/USD,$1.179554
2026-02-24 01:32:46,EUR/USD,$1.178371
2026-02-24 01:08:46,EUR/USD,$1.177183
2026-02-24 00:48:46,EUR/USD,$1.178402
2026-02-23 22:28:46,EUR/USD,$1.176851
2026-02-23 19:16:46,EUR/USD,$1.178073
2026-02-23 17:10:46,EUR/USD,$1.179271
2026-02-23 16:00:46,EUR/USD,$1.178082
2026-02-23 09:56:46,EUR/USD,$1.179277
2026-02-23 09:14:46,EUR/USD,$1.180703
2026-02-23 08:02:46,EUR/USD,$1.179512
2026-02-23 07:12:46,EUR/USD,$1.178186
2026-02-23 06:28:46,EUR/USD,$1.176989
2026-02-23 05:58:46,EUR/USD,$1.178214
2026-02-23 05:42:46,EUR/USD,$1.177728
2026-02-23 05:14:46,EUR/USD,$1.179080
2026-02-23 03:18:46,EUR/USD,$1.180274
2026-02-23 02:20:46,EUR/USD,$1.181473
2026-02-23 00:16:46,EUR/USD,$1.182818
2026-02-22 23:52:46,EUR/USD,$1.181354
2026-02-22 23:50:46,EUR/USD,$1.182897
2026-02-22 23:44:46,EUR/USD,$1.181445
2026-02-22 23:42:46,EUR/USD,$1.182638
2026-02-22 23:24:46,EUR/USD,$1.181115
2026-02-22 17:42:46,EUR/USD,$1.182548
2026-02-22 17:22:46,EUR/USD,$1.181109
2026-02-22 16:08:46,EUR/USD,$1.179485
2026-02-22 06:00:46,EUR/USD,$1.178157
2026-02-22 04:44:49,EUR/USD,$1.177780
2026-02-21 14:48:51,EUR/USD,$1.177832
2026-02-20 14:48:51,EUR/USD,$1.178643
2026-02-20 12:30:51,EUR/USD,$1.178375
2026-02-20 10:36:51,EUR/USD,$1.177065
2026-02-20 09:44:51,EUR/USD,$1.178359
2026-02-20 09:20:51,EUR/USD,$1.179599
2026-02-20 09:12:51,EUR/USD,$1.177555
2026-02-20 09:08:51,EUR/USD,$1.175682
2026-02-20 09:06:51,EUR/USD,$1.177300
2026-02-20 05:16:51,EUR/USD,$1.175906
2026-02-20 05:08:51,EUR/USD,$1.177176
2026-02-20 04:22:51,EUR/USD,$1.175628
2026-02-20 03:20:51,EUR/USD,$1.176909
2026-02-20 02:32:51,EUR/USD,$1.175603
2026-02-20 02:12:51,EUR/USD,$1.174284
2026-02-20 01:14:51,EUR/USD,$1.175644
2026-02-20 01:12:51,EUR/USD,$1.176834
2026-02-19 20:14:51,EUR/USD,$1.175164
2026-02-19 19:18:51,EUR/USD,$1.176402
2026-02-19 19:16:51,EUR/USD,$1.177594
2026-02-19 14:48:51,EUR/USD,$1.176356
2026-02-19 11:36:51,EUR/USD,$1.176672
2026-02-19 11:04:51,EUR/USD,$1.175407
2026-02-19 09:10:51,EUR/USD,$1.176657
2026-02-19 08:12:51,EUR/USD,$1.175310
2026-02-19 08:00:51,EUR/USD,$1.176499
2026-02-19 07:12:51,EUR/USD,$1.175045
2026-02-19 06:58:51,EUR/USD,$1.176734
2026-02-19 05:34:51,EUR/USD,$1.177938
2026-02-19 04:22:51,EUR/USD,$1.179178
2026-02-19 02:36:51,EUR/USD,$1.180456
2026-02-19 01:04:51,EUR/USD,$1.179180
2026-02-19 00:32:51,EUR/USD,$1.180380
2026-02-18 20:16:51,EUR/USD,$1.179110
2026-02-18 20:14:51,EUR/USD,$1.180457
2026-02-18 19:28:51,EUR/USD,$1.178752
2026-02-18 19:24:51,EUR/USD,$1.180136
2026-02-18 17:20:51,EUR/USD,$1.178416
2026-02-18 17:16:51,EUR/USD,$1.179618
2026-02-18 14:48:51,EUR/USD,$1.178236
2026-02-18 12:34:51,EUR/USD,$1.178923
2026-02-18 11:40:51,EUR/USD,$1.180147
2026-02-18 09:22:51,EUR/USD,$1.181534
2026-02-18 09:10:51,EUR/USD,$1.182788
2026-02-18 08:58:51,EUR/USD,$1.181213
2026-02-18 07:58:51,EUR/USD,$1.182409
2026-02-18 06:26:51,EUR/USD,$1.183605
2026-02-18 05:28:51,EUR/USD,$1.182327
2026-02-18 04:28:51,EUR/USD,$1.183696
2026-02-18 04:26:51,EUR/USD,$1.184896
2026-02-18 01:40:51,EUR/USD,$1.183379
2026-02-17 14:48:51,EUR/USD,$1.184591
2026-02-17 11:32:51,EUR/USD,$1.183834

